Search Name,Band Name,URL,Match Type
Beorn,Beorn  ,https://www.metal-archives.com/bands/Beorn/3540403095,exact
Beorn,Beorn's Hall (a.k.a. Beorns Hall) ,https://www.metal-archives.com/bands/Beorn%27s_Hall/3540423022,exact
Beornings,No match found,,none
Beraid,No match found,,none
Bereg,Берег Неба (a.k.a. Bereg Neba) ,https://www.metal-archives.com/bands/%D0%91%D0%B5%D1%80%D0%B5%D0%B3_%D0%9D%D0%B5%D0%B1%D0%B0/3540355471,exact
Bereg,"Лівий Берег (a.k.a. Livyi Bereh, Liviy Bereg, Левый Берег, Left Bank) ",https://www.metal-archives.com/bands/%D0%9B%D1%96%D0%B2%D0%B8%D0%B9_%D0%91%D0%B5%D1%80%D0%B5%D0%B3/3540509564,exact
Beregond,No match found,,none
Beren,No match found,,none
Bergil,No match found,,none
Berhael,No match found,,none
Berthiel,No match found,,none
Berts,No match found,,none
Beteg,No match found,,none
Bifur,No match found,,none
Birchwoods,No match found,,none
Birdtamer,No match found,,none
Bladorthin,No match found,,none
Bloor,No match found,,none
Bofur,No match found,,none
Bolg,Bolg  ,https://www.metal-archives.com/bands/Bolg/30558,exact
Bolg,Fir Bolg  ,https://www.metal-archives.com/bands/Fir_Bolg/128942,exact
Bolgers,No match found,,none
Bombadil,No match found,,none
Bombadillo,No match found,,none
Bombur,No match found,,none
Borgil,No match found,,none
Borlach,No match found,,none
Borlad,No match found,,none
Boromir,No match found,,none
Borthand,No match found,,none
Bosss,No match found,,none
Bracegirdle,No match found,,none
Bragollach,Dagor Bragollach  ,https://www.metal-archives.com/bands/Dagor_Bragollach/3540437879,exact
Brandir,No match found,,none
Brandybuck,No match found,,none
Breeand,No match found,,none
Breeblood,No match found,,none
Breedialect,No match found,,none
Breefolk,No match found,,none
Breehill,No match found,,none
Breehobbits,No match found,,none
Breeland,No match found,,none
Breelander,No match found,,none
Breemen,No match found,,none
Bregalad,No match found,,none
Brego,No match found,,none
Bregolas,No match found,,none
Bregor,No match found,,none
Brethil,No match found,,none
Bridgefields,No match found,,none
Bridgehouse,No match found,,none
Brilthor,No match found,,none
Brithiach,No match found,,none
Brithombar,No match found,,none
Brithon,No match found,,none
Brockenbores,No match found,,none
Brockhouse,No match found,,none
Brodda,No match found,,none
Bruinen,No match found,,none
Bucklander,No match found,,none
Bucklebury,No match found,,none
Budgeford,No match found,,none
Bundushathyr,No match found,,none
Burrowes,No match found,,none
Burrowses,No match found,,none
Butatanamir,No match found,,none
Butterburs,No match found,,none
Butthingol,No match found,,none
Butwell,No match found,,none
Bywater,No match found,,none
Cabed,No match found,,none
Cabeden,No match found,,none
Cabedenaras,No match found,,none
Calacirian,No match found,,none
Calacirya,No match found,,none
Calaciryo,No match found,,none
Calaquendi,No match found,,none
Calembel,No match found,,none
Calenardhon,No match found,,none
Calenhad,No match found,,none
Camil,No match found,,none
Camimirie,No match found,,none
Camll,No match found,,none
Camlost,No match found,,none
Captaingeneral,No match found,,none
Carach,Carach Angren  ,https://www.metal-archives.com/bands/Carach_Angren/28907,exact
Caradhras,Caradhras  ,https://www.metal-archives.com/bands/Caradhras/104418,exact
Caradhras,Caradhras  ,https://www.metal-archives.com/bands/Caradhras/3540456228,exact
Caradhras,"Draconis Sanguis (a.k.a. Flames of Udun, Caradhras) ",https://www.metal-archives.com/bands/Draconis_Sanguis/3756,exact
Caragdur,No match found,,none
Caranthir,No match found,,none
Carcharoth,Carcharoth  ,https://www.metal-archives.com/bands/Carcharoth/3540255228,exact
Carcharoth,Carcharoth  ,https://www.metal-archives.com/bands/Carcharoth/25116,exact
Carcharoth,Carcharoth (a.k.a. Carcharott) ,https://www.metal-archives.com/bands/Carcharoth/3540521923,exact
Carcharoth,Carcharoth  ,https://www.metal-archives.com/bands/Carcharoth/3540542103,exact
Carcharoth,Carcharoth  ,https://www.metal-archives.com/bands/Carcharoth/25844,exact
Carcharoth,Carcharoth  ,https://www.metal-archives.com/bands/Carcharoth/57700,exact
Carcharoth,"Carcharoth Λ.V. (a.k.a. Atramentvm Vltima, Karcharoth) ",https://www.metal-archives.com/bands/Carcharoth_%CE%9B.V./3540261645,exact
Carchost,No match found,,none
Cardolan,No match found,,none
Carnil,No match found,,none
Carnimirie,No match found,,none
Carrock,No match found,,none
Cartwrights,No match found,,none
Caveyard,No match found,,none
Celebdil,No match found,,none
Celebom,No match found,,none
Celeborn,Celeborn  ,https://www.metal-archives.com/bands/Celeborn/39073,exact
Celebrimbor,No match found,,none
Celebrindal,No match found,,none
Celebrnan,No match found,,none
Celebros,No match found,,none
Celegorm,No match found,,none
Celerdain,No match found,,none
Celon,No match found,,none
Celonuometkele,No match found,,none
Celos,No match found,,none
Chetwood,No match found,,none
Chubbs,No match found,,none
Cirdan,No match found,,none
Ciril,No match found,,none
Cirion,Oath of Cirion  ,https://www.metal-archives.com/bands/Oath_of_Cirion/7203,exact
Cirith,Cirith Gorgor  ,https://www.metal-archives.com/bands/Cirith_Gorgor/2104,exact
Cirith,Cirith Morgul  ,https://www.metal-archives.com/bands/Cirith_Morgul/3540461915,exact
Cirith,Cirith Ungol  ,https://www.metal-archives.com/bands/Cirith_Ungol/561,exact
Cirth,No match found,,none
Ciryon,Ciryon (a.k.a. Ulterior Motive) ,https://www.metal-archives.com/bands/Ciryon/3540290339,exact
Citadelgate,No match found,,none
Citygate,No match found,,none
Clipclop,No match found,,none
Clopclop,No match found,,none
Cloudyhead,No match found,,none
Clrdan,No match found,,none
Clryon,No match found,,none
Cnrdan,No match found,,none
Cockrobin,No match found,,none
Coombside,No match found,,none
Cormacolindor,No match found,,none
Cormallen,No match found,,none
Corollaire,No match found,,none
Coron,Coron  ,https://www.metal-archives.com/bands/Coron/3540475336,exact
Crickhollow,No match found,,none
Crissaeghm,No match found,,none
Crissaegrim,Crîssäegrîm  ,https://www.metal-archives.com/bands/Cr%C3%AEss%C3%A4egr%C3%AEm/3540503653,exact
Ctvrtvr,No match found,,none
Cuarthol,No match found,,none
Cuio,No match found,,none
Cuivienen,No match found,,none
Culurien,No match found,,none
Cupynthtct,No match found,,none
Curufin,No match found,,none
Curufinvie,No match found,,none
Curufinwe,No match found,,none
Curufm,No match found,,none
Curuftnwe,No match found,,none
Curunir,No match found,,none
Curunlr,No match found,,none
Cuthalion,No match found,,none
Daedeloth,Daedeloth  ,https://www.metal-archives.com/bands/Daedeloth/16306,exact
Daedeloth,Daedeloth  ,https://www.metal-archives.com/bands/Daedeloth/67632,exact
Daedeloth,Daedeloth  ,https://www.metal-archives.com/bands/Daedeloth/90771,exact
Daedeloth,Dor Daedeloth  ,https://www.metal-archives.com/bands/Dor_Daedeloth/3540353438,exact
Daeron,No match found,,none
Dagnir,Dagnir en Gwann  ,https://www.metal-archives.com/bands/Dagnir_en_Gwann/120175,exact
Dagnirdagnir,No match found,,none
Dagor,Dagor  ,https://www.metal-archives.com/bands/Dagor/47217,exact
Dagor,Dagor  ,https://www.metal-archives.com/bands/Dagor/3540496783,exact
Dagor,Dagor  ,https://www.metal-archives.com/bands/Dagor/27809,exact
Dagor,Dagor Bragollach  ,https://www.metal-archives.com/bands/Dagor_Bragollach/3540437879,exact
Dagor,Dagor Dagorath  ,https://www.metal-archives.com/bands/Dagor_Dagorath/73281,exact
Dagor,Dagor Sorhdeam  ,https://www.metal-archives.com/bands/Dagor_Sorhdeam/3540459870,exact
Dagor,Mor Dagor  ,https://www.metal-archives.com/bands/Mor_Dagor/4651,exact
Dagor,Dagorlad (a.k.a. DagorLad) ,https://www.metal-archives.com/bands/Dagorlad/86371,exact
Dagor,Dagorquest (a.k.a. DagorQuest) ,https://www.metal-archives.com/bands/Dagorquest/62161,exact
Dagoraglareb,No match found,,none
Dagorbragollach,No match found,,none
Dagorlad,Dagorlad  ,https://www.metal-archives.com/bands/Dagorlad/116421,exact
Dagorlad,Dagorlad  ,https://www.metal-archives.com/bands/Dagorlad/1744,exact
